Inspector Gadget,The Kartoon Krew,spotify:track:05gNNySi0N20CpbNiYynCy
Geronimo,Daytonas,spotify:track:0jqpJtUTNoKuGHluDtY6nx
Black,Pearl Jam,spotify:track:6qgpO647NPBUvBkm56vV7d
Talk To Me,Chico DeBarge,spotify:track:02iG08jjPlK4Zrw1yy95le
Evil Woman,Spooky Tooth,spotify:track:1sZ12i8B4Ml51kzpL1dcYV
Sincerely,The Moonglows,spotify:track:1BdvU12RWtXqK8FT78GWbw
Hooked on You - Version #2,Sweet Sensation,spotify:track:5zZjREAyBUbcG6IKS1fsWE
The Gods Made Heavy Metal,Manowar,spotify:track:3sov9pR02rdD3Ssjcin6Nw
Reach Up,Toney Lee,spotify:track:5o4uR9SWoccb7qJ8rUZYD5
If You Could Read My Mind,Ultra NatÃÂ©,spotify:track:1bOJQnJsFW5LZOgGp4K2mb
Walk On the Ocean,Toad The Wet Sprocket,spotify:track:2JAECj9kBYQHb8AqJ2rsxt
Needle In A Haystack,The Velvelettes,spotify:track:26fSgIa539TCK3KV76chHU
Golden Clouds,Flamin' Groovies,spotify:track:4riHr1ey8Bp3riT7hGAxd6
Money (That's What I Want) - Anthology 1 Version,The Beatles,spotify:track:3joiqE0EKWpt5KOyIDrzju
"I Made A Mistake Because It's Only You, Part 1 & 2",Marva Whitney,spotify:track:4aTUqVGaDg4pOCqskVHdZo
I Need a Man to Love,Big Brother & The Holding Company,spotify:track:4bnIJ0cHPwPXBJbZMC7LSb
High,Feeder,spotify:track:1sU5JRVjqvmiNfSiPofZfd
Under Pressure,Queen,spotify:track:3fFqJS7TleIhHfzuix8zY1
Candela,Buena Vista Social Club,spotify:track:5FEbJEYluldTJNZOeAahlC
What's My Age Again?,blink-182,spotify:track:5JZcX7TTLx4l0xFIXJ3DBt
Love Bug,Reuben Wilson,spotify:track:1uPUbSSWMxhkkrrVcw2hmy
Corazon Espinado (feat. Mana),Santana,spotify:track:2WoqgtWEBbbBKMDN6Becs7
In And Out,Willie Hutch,spotify:track:39RhM4Wkw0CMsw77kTWoMl
The Tears Of A Clown,Smokey Robinson & The Miracles,spotify:track:43EnnDLiVJfFEN7Xlpyh93
My Boy Lollipop,Millie Small,spotify:track:4yb9nJL8YatoQbz6YPB3hl
Appreciation,Alicia Myers,spotify:track:59e3S0ibU1gfisCuPdNy5x
"Sing, Sing, Sing",Anita O'Day,spotify:track:5G6u0R5Z3qdaDtcWUvSiQo
Rollin' Rock,The Tielman Brothers,spotify:track:1Z7p1dSJx0iAOieAG5DgYz
Burn Rubber On Me (Why You Wanna Hurt Me),The Gap Band,spotify:track:4QWGpQjCFzlQWsB6CKSDIF
"Over And Over - ""12"" Voc - Col. Abrams Remix""",Colonel Abrams,spotify:track:2YmRcIgtOxxvJmdEzraooZ
Something Is Happening,Herman's Hermits,spotify:track:6QYATdsvBZPSU5YJRXSkUi
Ring of Fire,Johnny Cash,spotify:track:5nAXp1Vypbcsk9RLJCJLvO
That's All I Need To Know,Sam Cooke,spotify:track:5wefrPCNHQooEtGdcVBy2K
Steal My Sunshine,Len,spotify:track:5k2eOI8e9RpwCZcFQrqtKi
Under Paris'es Himmel + Mild Grey Fog - Live,Prudence,spotify:track:50DKCoERetd6HDCPqfY7vA
Move Away - 12'' Mix,Culture Club,spotify:track:0g7mfJuzV4TgzwsKOM0fC7
A Living Ken And Barbie,The Orchids,spotify:track:3nnz7CW2myXKZZHpTItEMh
Girlfriend,Matthew Sweet,spotify:track:338gPBomyqx33wfeF1AGOd
How Do You?,Radiohead,spotify:track:71wIOoaoVMUwskK5yCXZL4
Fly On the Wall,The Jesus Lizard,spotify:track:1Sbixy29J3ii37kXrJvwgQ
The Changingman,Paul Weller,spotify:track:4RaZ7BF9DTlSpmqphlugR5
Only the Beginning,Seventh Wave,spotify:track:4h5aHhSu17eQCVRwLw7X7i
Frenzy,Screamin' Jay Hawkins,spotify:track:756R19at7dgLPY7HMhRnPx
Birdhouse in Your Soul,They Might Be Giants,spotify:track:6pmuu4qSz2WrtGkBjUfyuz
Action Woman,Tall Boys,spotify:track:1nH7WX93l7Yv44YwD5piAl
Everybody Knows,Concrete Blonde,spotify:track:1ryN1lUyInxWIqAp0VoqLz
No Surprises,Radiohead,spotify:track:1bSpwPhAxZwlR2enJJsv7U
Princess Mononoke - The Legend of Ashitaka,Joe Hisaishi,spotify:track:0FXkGdkTaJ7DPjZ7C93MRZ
Pump It Up,Mudhoney,spotify:track:6ihhhTr3Tg4oWLN8WhSXhW
Nebraska Bricks,Saves The Day,spotify:track:5G9FOGlFr32VLAtkUzZsDX
Seether,Veruca Salt,spotify:track:1SY2vughwKmVPm1Lmf5Nl7
What Kind of Monster Are You?,Slant 6,spotify:track:31rO0CUenJkH4XMrFounQs
Zoot Suit Riot,Cherry Poppin' Daddies,spotify:track:1qmJbXpVLydNcN6VTR40GU
I Come From The Water,Toadies,spotify:track:0eaioDQLdGKlYMmj73I89R
Up From The Skies,Demented Are Go,spotify:track:6AnuvGwuxLbzK4oAIj6iI0
You Belong To Me,The Duprees,spotify:track:1bgKnEPujoiQzz0pc6gdt7
Let's Do It,Della Reese,spotify:track:3PehbtMTHBE2JkuV8d143T
Chinchilla,The Drifters,spotify:track:1rxWgTm5AbHXALoSGG3foU
Hang On Sloopy,The Remains,spotify:track:1GvZMcvyvGwBq2h9KSy70d
Where I Find My Heaven,Gigolo Aunts,spotify:track:2UlsrhkQRhmXXy2Mvm6ozg
a) STRA (Illusions Of My Childhood-Part One) b)You Keep Me Hanging On c) WBER (Illusions Of My Childhood-Part Two),Vanilla Fudge,spotify:track:53wzLGt39mLri3icn6YLbA
Austin Pickers,Gary P. Nunn,spotify:track:300WQSf1EJ0FWtqCdgdHGb
Walkin' Back to Happiness,Helen Shapiro,spotify:track:4JiNnZnuGvnmNDf4c9zYf9
My Girl Josephine,Flamin' Groovies,spotify:track:4tcFHTaheoWs3lOHA3BMtT
Cooky Puss,Beastie Boys,spotify:track:7DZSImZVNfImxqehwNtPuB
California (All the Way),Luna,spotify:track:1B8hYc78Uzh1FxK3wJ8GnP
900 Million People Daily,The Seeds,spotify:track:71AgID3vVKBnQZ20lHIO2W
Crawl Away,TOOL,spotify:track:1KCndc1SfLo9i9YWXdjy9D
King For A Day,Bazooka Joe,spotify:track:5VqPUyoPRVuVuMEhUe1b5q
I Don't Know,Duke Pearson,spotify:track:5vQwcQLmxBg4kjY246sS4J
After The Lovin',Engelbert Humperdinck,spotify:track:5JoH1PWKf13uHdEH8EJDAb
Driveway to Driveway,Superchunk,spotify:track:1C65EMS98C2cnJZA5DEEq8
Painkiller,Judas Priest,spotify:track:0L7zm6afBEtrNKo6C6Gj08
Follow You Down,Gin Blossoms,spotify:track:5yVqBhvmi3sBahhaSYpl27
All I Want,INOJ,spotify:track:48LssaV9HGhvHPYpT2uUev
Sing Sing Sing,Country Joe & The Fish,spotify:track:607B6idSUjCSmiR5Y4jAlH
I'm Sorry - Single Version,Brenda Lee,spotify:track:3Wkx5w26BqVASMkeGFTsEt
Don't Make Me Wait,NYC Peech Boys,spotify:track:2XtQSMq3dIcyGycCYFrRKV
Absolute Beginners,David Bowie,spotify:track:1nK1ZD2IxDdThavNbfZhX6
Grey Cell Green,Ned's Atomic Dustbin,spotify:track:3uVCJvMFKmsj9P44vNHfx1
Cecilia,Simon & Garfunkel,spotify:track:3fXaVIXlG8Eu7Xq9xa8tw2
Skinny,Filter,spotify:track:6Xt4PV11t56ccd1ff8NIwj
Native Place,The Railway Children,spotify:track:5YqRzwFt5dvdjTsG93A7QD
Sweetest Thing - The Single Mix,U2,spotify:track:3jYaQBRTusFJHxYfaqEVDO
Mighty K.C.,For Squirrels,spotify:track:1abDkawNR5aFFw3gGTBkb8
Don't Worry Be Happy,Bobby McFerrin,spotify:track:5YbgcwHjQhdT1BYQ4rxWlD
Corazon Contento,Palito Ortega,spotify:track:0ADCWxg2OXez898qqburJF
Wrap Me Up - Original Mix,Alex Party,spotify:track:2fSSyRVMrYBUd1MZDYi9Ln
The Way to Your Heart,Soulsister,spotify:track:30LqaDEAuommRGjoKWRnNt
Searching to Find the One,Unlimited Touch,spotify:track:1a0MtMZ19M9Nry9oI34jkT
Between The Eyes,Love Battery,spotify:track:6GK6AH9hwGbdDNOoX8SoQW
Done,Deep Blue Something,spotify:track:5dM4jxiNYlH5ZW0ZWTewIN
Pancake,Swirlies,spotify:track:00YCRrySf0dJ6nRCKYSAkA
Gorgeous,Gene Loves Jezebel,spotify:track:3VD0m1XWj02RDNzBGJzavx
Ring Dang Doo,The Lyres,spotify:track:2YeXpo8ifANANMGjjbnH9h
The Ugly Truth,Matthew Sweet,spotify:track:2sJeZOKkPgN1fQfzPXzhWN
Pecan Pie,Golden Smog,spotify:track:56DJzEuZugYdTYxi6VAdVh
Some Of Your Lovin',Dusty Springfield,spotify:track:3nwEmthjrWTwnhbFVujVbk
Hurt,Timi Yuro,spotify:track:6mqfq8EdYoV07TXM2rgPgb
Baby Love - Mono,The Supremes,spotify:track:5zzVaxPfC7OsH4x9SxdsuV
Dust N' Bones,Guns N' Roses,spotify:track:4vtXsXvSYaTfKQ0dJXbJGu
Minor Bash,Lou Donaldson,spotify:track:16hXGWBfJjR9brFNleOnUq
Last Night a D.J. Saved My Life,Indeep,spotify:track:6NSqiyQWIyZLouviktad9X
If You Hurt Me,Small Factory,spotify:track:6eapyRHeDfeyRwZis2MMeI
Here I Go Again,Whitesnake,spotify:track:1tQ5TSr1tyeQUbHKBee0jv
Water's Edge,Seven Mary Three,spotify:track:0pvmUroOxa5sBu9wINCbI9
I've Been Everywhere,Hank Snow,spotify:track:59KLbEPx6oU0fdwtTVaQAw
Summer Of '69,Bryan Adams,spotify:track:6oWpGuwokWJ4EcWgVQPdUt
Human Dissection,Demolition Hammer,spotify:track:2SbuCIni6GQsd6KGCswrdw
Society's Child (Baby I've Been Thinking) - Single Version,Janis Ian,spotify:track:4ygQFe0kTwEQYUc0SjMr58
Tiene Espinas El Rosal,Grupo CaÃÂ±averal De Humberto PabÃÂ³n,spotify:track:1PZ3QsCFec05Ls3PwOqKXZ
Funky Thang,The Bar-Kays,spotify:track:5WANqmURtGMYnrWUYaefyU
She Can't Love You,Chemise,spotify:track:5m2tbFHvChBEIRGBObZTVz
Say My Name,Destiny's Child,spotify:track:7H6ev70Weq6DdpZyyTmUXk
Bleach,Lowlife,spotify:track:0A0aPvahsJpOOQY4miqEzX
Your Place or Mine,Quinella,spotify:track:1vSlMrPfitvL6cFcZjgTf5
OlmalÃÂ± mÃÂ± OlmamalÃÂ± mÃÂ±,BÃÂ¼lent OrtaÃÂ§gil,spotify:track:0pnC8KYOumEqzYDALFQNAL
It's Your Thing,The Isley Brothers,spotify:track:2oezpnnea1VXHpJEbqnBhw
Life Goes Around,Courtney Pine,spotify:track:2EnS0Y7k0FwpJGfVCIIUev
Gepetto,Belly,spotify:track:1GB1oyt7Ar8GWa76B4dV1h
Everything You Want,Vertical Horizon,spotify:track:4cKGldbhGJniI8BrB3K6tb
Don't Stop The Feeling,Roy Ayers,spotify:track:3ZDW6AElGDqEchxoMvFwQ4
When the Sun Hits,Slowdive,spotify:track:0oxYB9GoOIDrdzniNdKC44
Sherry,Red Squares,spotify:track:3scYu6qncE0pedwRKFNWbt
Dine Alone,Quicksand,spotify:track:27X1P8USDRbZ5RNjbbQ9d1
Blue,The Jayhawks,spotify:track:5cDfI3KOa64zbuUgD6a4hG
Keep On Running - Mono Version,The Spencer Davis Group,spotify:track:6ftH8Mtm6seGGTA8e4jooj
Local Boy In The Photograph,Stereophonics,spotify:track:6YzDOgtHkmtr70v9SD1gAp
40 Oz. To Freedom,Sublime,spotify:track:4qvMZBtrZxZlUl9nPR2p0y
Don't Go Breaking My Heart,Burt Bacharach,spotify:track:2CTXHMmUh3d6JA9i8pApaq
Shy Guy,Diana King,spotify:track:3ldG6XCLDXxWg1N6XhrSKo
Apache,The Shadows,spotify:track:1aAxg5rWVFy6p94IWzO9pN
Between the Hammer & the Anvil,Judas Priest,spotify:track:3DfE7Ysl7H40yDbGFSuzPU
You Can,Madleen Kane,spotify:track:5voyo3rpCN1mtAa930dQaW
Shot in the Night,Paul Parker,spotify:track:1b3kI206wj4EvGLSOdVCQ7
Solid,Grant Green,spotify:track:3EAUgtBGYPNaX3vJ9IPCip
I Can't Control Myself,The Troggs,spotify:track:6kN7vLgMDpEtPH4KU1xojo
Peggy Sue - Single Version,Buddy Holly,spotify:track:3iJWxZYv5FNcfGcOdgbq2P
Here Comes the Judge,The Make-Up,spotify:track:0kJ3ZeZ9r5y8pjRjb6tfMA
Gammer Gerten's Needle,Deep Blue Something,spotify:track:6fPOMDQjhpriegRiBpTNK7
Come Go With Me - Master,The Del-Vikings,spotify:track:4xfNoHpr1JZ79tnlauhvZa
Life in Vain,Daniel Johnston,spotify:track:0G0355QSDEAcsKdV3i0a0V
Losing a Whole Year,Third Eye Blind,spotify:track:5lgOUdoMBB3eZuSmc5HL4r
Didn't You Know (You'd Have To Cry Sometime),Gladys Knight & The Pips,spotify:track:1VOalgHhgsZA9aSOTHyS6a
Little Bones,The Tragically Hip,spotify:track:2qK6fxHA2V8mCK9pHry3wa
The Shoop Shoop Song (It's In His Kiss),Betty Everett,spotify:track:3qoNRhQuqbAG4uXrPx2aSk
Elusive Butterfly,Bob Lind,spotify:track:226EXK5tPVsqaZ2y9RACR0
Wicked As It Seems,Keith Richards,spotify:track:4x1PEH64yg8fVFv2xQet0X
I Got You (I Feel Good),James Brown & The Famous Flames,spotify:track:5qr54MW1u7j9UsauFEuOXw
White Trash Heroes,Archers Of Loaf,spotify:track:4GoVFC43NOzE3PPp3r44Ll
Tesko Suicide,Sneaker Pimps,spotify:track:4maDzakqmkLxFiSQTR9GMZ
Come On And Do The Shake With Me,Hasil Adkins,spotify:track:5GlKPn7kD4aJcRzCwHa5Rp
A Walk,Bad Religion,spotify:track:5hSqYDZhfykxlSb6jBEA4A
You're Drivin' Me Insane,The Missing Links,spotify:track:3S1ViTbWtouyf0strYUPtO
Superunknown,Soundgarden,spotify:track:6shF79BmasRYo0ktqAvmXz
Killing Me Softly With His Song,Fugees,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl
Superblast!,Lush,spotify:track:2ojberQOPGUP9KMdOWiuSE
Chemical Bomb,The Aquabats!,spotify:track:2CLG8mc1f4Ottpgf0YoCYK
Not a Lot to Save,Gruntruck,spotify:track:7sBSZWvxM82roWPHflEHoQ
Unreal Is Here,Chavez,spotify:track:4aBXGe7ftxVf7GaArOg0nK
What's A Matter Baby (Is It Hurting You),Timi Yuro,spotify:track:5w0dh39SYz1ei2tCs7X7Fo
Believe,Dig,spotify:track:524rh9nvX0UZdFfDbLK22e
Fresh,Kool & The Gang,spotify:track:5K4rpaenJO4raKW1aspFcf
Keep An Open Mind Or Else,McCarthy,spotify:track:0NAuHYn4NyWEsbrCeXbltT
Don't Touch My Bikini,The Halo Benders,spotify:track:1fcZq96QZkAkEHcC1FlH9l
I Love You Like the Way That I Used to Do,Rocketship,spotify:track:0C6I0PEuFMRO3uUwtYcxGP
Restless,Johnny Kidd & The Pirates,spotify:track:1bgxemnpWzbubZIxNVq798
(Love Is Like A) Heat Wave - Single Version,Martha Reeves & The Vandellas,spotify:track:3EyLSmOtkehB1cnZ57CAwf
Une histoire de plage,Brigitte Bardot,spotify:track:2gBySoyAkqPUoOmoGgtUpK
She Ain't Going Nowhere,Guy Clark,spotify:track:75WQivypwbWNM6YLPiVoCv
Rafael,Seam,spotify:track:408pVVJ5gM5kHHaxFEXMqe
Home,Deep Blue Something,spotify:track:7zgaCNXiN8F1JPlFXtEffv
Hypnotize,The Notorious B.I.G.,spotify:track:2ujbOwvdiH020TO5EucGiX
Say It Ain't So - Remix,Weezer,spotify:track:3MDmJDJlReM4fTYvgcQvy2
Roots Bloody Roots,Sepultura,spotify:track:6ursmCnbc9oDRGa2yHKkoZ
Havin' A Bad Day,Blue Flannel,spotify:track:3Gq67aY9XNjBPe1hOfBlOL
"You Used To Hold Me So Tight - Original 12"" Mix",Thelma Houston,spotify:track:6Ou5uQbgLN9oseTcDayK42
Sick of Myself,Matthew Sweet,spotify:track:4inXYz8i3xRpNbxZJ99Clo
Face Of Time,Plague,spotify:track:4f07MmZW6GPImW4cV9OiGv
Live Wire - Single Version / Mono,Martha Reeves & The Vandellas,spotify:track:0OovrROpw3cV2HaKkz18tt
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,spotify:track:0S38O3eo802ZJe0I8NEiJl
Nasty People,Spinetta Y Los Socios Del Desierto,spotify:track:3qBwLmGiqRvBqrzfcsl9Fp
Lump,The Presidents Of The United States Of America,spotify:track:2JdzB67NvIa90K4gEZPLeX
Civil War,Guns N' Roses,spotify:track:6i4Qi1mJxXjqNIL9HfJhRs
"Love Shack - 12"" Remix",The B-52's,spotify:track:5jSuplaGdY7DSZc7rrnIDL
Undertow,TOOL,spotify:track:4Wvnm0J3Zz9cmMdEMMghGA
Moya,Godspeed You! Black Emperor,spotify:track:2g2dBiugZROCtl8ipW9NQo
Don't Make Me Over,The Swinging Blue Jeans,spotify:track:32k4wWy6So9gbyO3L6W6S4
GOLDEN GLASS,The Misunderstood,spotify:track:6959x4i3zjfxh4Jm047mg0
Aida,RenÃÂ© McLean,spotify:track:0pyXzvEDwuYB6WV9eXnuKE
Free from the City,The Poppy Family,spotify:track:20nbWARmYBZTDlSYYQEa9a
Boom Swagger Boom,The Murder City Devils,spotify:track:63kdfNffWA7vGwkcgZUPZr
King of Carrot Flowers Pt. 1,Neutral Milk Hotel,spotify:track:17Nowmq4iF2rkbd1rAe1Vt
Hang On Sloopy,The McCoys,spotify:track:0i7O5MtSTXvR4BEY7stpjF
Joe Lies (When He Cries),The Bouncing Souls,spotify:track:2zXjx1m2fV6E9aPPK3ScbI
I Want You,Spiritualized,spotify:track:30V8jILgWHdSPwajNUSGZb
Where Evil Grows,The Poppy Family,spotify:track:7hYzT3JiWEqZzFy8t8O1FH
Body Farm,Gruntruck,spotify:track:2m3EknEb1F5YDFs857jfQ5
Itchycoo Park,Small Faces,spotify:track:0fYgtNCNCjFDeJWTIMukNU
Metal Meltdown,Judas Priest,spotify:track:679lDz2Jn7TOD6LRl2gM8y
Big Empty,Stone Temple Pilots,spotify:track:07jUylEMp4LBOWZagde8tF
Daughter,Pearl Jam,spotify:track:1N6ufONdqo8Lltpq7F4tcz
Queen for Tonight,Helen Shapiro,spotify:track:6VJosT2Ir5CIwPTuXg0D8F
Please Mr. Sun,Tommy Edwards,spotify:track:5FtczIMM0wilBq6sNjGgdW
River of Deceit,Mad Season,spotify:track:5EUsI3LIV042IV5ydksV9y
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,spotify:track:47Ut22CeIzd0PRIcrm4sDd
Nausea,Therapy?,spotify:track:1akXxQrGVDvTw1An7Gd9el
"I, Fuzzbot",Brainiac,spotify:track:0LKLWnQ3aNnOah45s4UDPI
Bia Bare Safar bandim,Mohammad Nouri,spotify:track:6BLIufscOwtuHJPVkla5UM
Triplets,Hansson & Karlsson,spotify:track:18xjwBeNN9n8oyQv5xnbBM
Fuck This Town,Robbie Fulks,spotify:track:6wTYnVw8EoFd5h8lzxAjWv
PU55YFOOT1N',Brainiac,spotify:track:62G3lblyETzW4zSO8cotat
Sunday Morning,No Doubt,spotify:track:6yCjhDzcVIfxvTjBKhhn7P
17 Days,Prince,spotify:track:7rwPVahewLXhDGKUjfbzU3
Rubber Biscuit,The Chips,spotify:track:5fPPeag1ji3NRN7L3qxQP4
Ugly Woman,Hasil Adkins,spotify:track:62qTWCnJ1buQRyrTnfuGVt
It Takes Two,Marvin Gaye,spotify:track:14NVzD8MXI9hCvKK6FSJaI
Harlem River Drive,Bobbi Humphrey,spotify:track:6SzCJmFD2OspicHVEQVEw2
Who Has the Last Laugh Now,Bloodstone,spotify:track:2a9tA0stcktUErvSDP9AJa
Sukiyaki,4 P.M.,spotify:track:0cBQbqp5jInL73ZxLBSGlX
Gangsta's Paradise,Coolio,spotify:track:7lQWRAjyhTpCWFC0jmclT4
Mysterious Vibes,The Blackbyrds,spotify:track:6lqYjlQyDzNWE0MGc78b4c
Hire a Bird,Think Tree,spotify:track:7kgRIrGaIYIqF7zo5TSbo4
My Flaming Red Bobsled,Cub,spotify:track:36zzT4askdEGtNd3y8I0tZ
I'm Beginning To See The Light,Della Reese,spotify:track:0pjH35qYR6CaXCfXszUvYj
Hacker (Hacked),Clock DVA,spotify:track:0EV0PvznIATp8BsruVDRMn
Du hast,Rammstein,spotify:track:5r2BUVszy94ZNnE3SKkzBW
Roads,Portishead,spotify:track:2sW8fmnISifQTRgnRrQTYW
Digging Your Scene,The Blow Monkeys,spotify:track:00Mk0LnP5u2W5yJmJpG4va
Call Me,Timi Yuro,spotify:track:46tIUFcocAj9x65MBzTBFX
Mode for Trane,Billy Gault,spotify:track:2s5rbNgSrKr44aG01aA80w
Machine Gun - Extended Version,Hubert Kah,spotify:track:0gPdxEGMbPZx3K4KlBbv0H
With Arms Wide Open,Creed,spotify:track:6yagwOP4hNv70YC4pIKUPx
I Second That Emotion,Smokey Robinson & The Miracles,spotify:track:0ZUJJOh6eD2Vsp0DPIDn6m
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:73q3FpQVXWk5eSUnyo83E4
Vacation,Connie Francis,spotify:track:5vEITnXdh3ou2h3FQo8fDZ
SÃÂ³ DelÃÂ­rio,Telex,spotify:track:1zetLoypLbx6hWYcrR9BaO
Misirlou,Dick Dale and his Del-Tones,spotify:track:3yuhWcddu8hgwlMIAyFamR
The Void,Daniel Ash,spotify:track:6GN9GxTSq02OWtiv1tTz30
Mars,Television,spotify:track:4aD0RFy4Y6i8eToTXdizZZ
5 Minutes Alone,Pantera,spotify:track:5SAEMjVQbmin3g7b0RG6me
Rub It In,Billy 'Crash' Craddock,spotify:track:6q014fQ3SqLy180KPuCTG1
Stupid Cupid,Connie Francis,spotify:track:4C0wRKBEUuYonk1uxXjxGG
Ruby Soho,Rancid,spotify:track:6zOlYzDyJifRMxim69LoWj
Whatcha Gonna Do - Vocal Mix,Blaze,spotify:track:6PYT9uddbdjP2gHXBiCri9
My Mind's Made Up - Vocal,Ambassadors of Funk,spotify:track:3H82PZNNrZ1coMAz6p0U2l
One Way,Levellers,spotify:track:6lufyj9TmhXAvuWv9lLSPj
Check,zebrahead,spotify:track:4NAm3aWUkQlQcAll13HVEt
California Nights,Lesley Gore,spotify:track:3ZJMhWsMQw6QaCLFsySB2q
Here Is Why I Love You,The Spaniels,spotify:track:6BKEUnKSMiDqU52PBLopyr
I Will Survive,Cake,spotify:track:4THrHKyBL0yaDDw9yg37Zk
Du hast,Rammstein,spotify:track:3cwDSDzTiWr5H5xMQhQ6Mx
Never Is a Promise,Fiona Apple,spotify:track:6fxVwgRXQgTI3AZiuQlJst
Outshined,Soundgarden,spotify:track:3t365tTYiwszqaXZb2LajN
You and Me Just Started,Linda Taylor,spotify:track:5YKj3GJkiWJ53B3757HuaB
God Gave Rock 'N' Roll To You II,KISS,spotify:track:7JFysVNd8IeMpKLt4SEjN4
Delivery (Guitar / Vocal Version),Compulsion,spotify:track:1aJsGxrQmfhEO9pXbrXlQv
Female of the Species,Space,spotify:track:5beiMMlsINDI5fxRdF0D42
December,Collective Soul,spotify:track:2PrUKG4kAO27esFEtQu9rL
Little Miss Can't Be Wrong,Spin Doctors,spotify:track:4mFIxFJg3Di1OIyVs7mcYh
What Do You Want from Me,Pink Floyd,spotify:track:3Tsh9pjiJ5cvmuiZALdgVz
One Track Mind,Johnny Thunders & The Heartbreakers,spotify:track:1bpMqhCC0xRfhFwCRzzCFV
Crosstown Traffic,Jimi Hendrix,spotify:track:7oVqbYLuql1XFKTpQQKn5s
Corpse Pose,Unwound,spotify:track:0zjs4f3SvXV2oggjg8oGnA
Smooth Operator,Dorothy Dandridge,spotify:track:7lVgQ0hCkoPBn1YFlXHU6J
Speculation,Colonel Abrams,spotify:track:1Zs3BS1pj8VmAELO6VyLDG
Why Do Fools Fall in Love,Frankie Lymon & The Teenagers,spotify:track:6vL5Kx5LmZzcL12DZl2OiY
Easy Lovers,Piero Piccioni,spotify:track:4u307txePIagFC4K67AdBA
In the Night - Extended,Pet Shop Boys,spotify:track:0yZyM755ebN815l6Ep2g9a
Positive Bleeding,Urge Overkill,spotify:track:2yIwWIbWcAmOE4mHEfENp3
Love Like Blood - Extended 12'' Mix,Killing Joke,spotify:track:684PvcVUqopYyVRbfZQlMt
Murio la Flor,Germain y sus Angeles Negros,spotify:track:649KQmRYaH9Bcuay6Ry2eq
Song To Make Love To,Deep Blue Something,spotify:track:3KvdCFCGDW5OinYABK8cek
Sexomatic,The Bar-Kays,spotify:track:2I1TOol6zDsfbBPcU0bsvV
Midnight Confessions - Single Version,The Grass Roots,spotify:track:7zAwAehFCw22pavwKME3V8
Fire Water Burn,Bloodhound Gang,spotify:track:7FkyQsWH9mmxoYLCNj4f8y
Domination,Pantera,spotify:track:769cLRTw2y6KRdkFWFkxtu
Les sucettes,Serge Gainsbourg,spotify:track:2DjjmeSYaIZ5BH9GzYawrP
Moving On,INOJ,spotify:track:2F9u1CbaVtnnFxXQE57Gii
Rubella,Smoking Popes,spotify:track:03ECJe0WJmsGE7VLIHMFnd
Little Girl Blue,Grant Green,spotify:track:4ne5gDlirhCLSLivQ2yOlR
Talking With Myself,Electribe 101,spotify:track:2OKwqQZe84gj37VMYRUD7E
Between the Bars,Elliott Smith,spotify:track:7BhZDvzJV21Dd5bY9xvtII
Breakout,Foo Fighters,spotify:track:2kh0u2d2YKQ7BCqeLPdHk6
If I Were A Carpenter,Tim Hardin,spotify:track:29WbmCTrjbMTxbsR5WiHFz
Tha Crossroads,Bone Thugs-N-Harmony,spotify:track:0UUSebzzrC8hKiVcX8fBsz
Just Once - New Version,James Ingram,spotify:track:0rKPoDE9Bm4OcZeyHrHZnV
Fox On The Run,Sweet,spotify:track:66gG8RzSA2sVQwME8e43wX
Sadness,Porno for Pyros,spotify:track:4lRYwRAFUqgDNFtoqWQBB3
Down Under,Men At Work,spotify:track:46RVKt5Edm1zl0rXhPJZxz
Ca plane pour moi,Plastic Bertrand,spotify:track:71yCMlsD6qbD7NmNUEoVNR
Dreadlock Holiday,10cc,spotify:track:4CLKThuQOEE4n9qmS1lZl3
Magdalene,Alice Donut,spotify:track:74FiADUmUq95m2vKKc0UHA
A Touch of Evil,Judas Priest,spotify:track:08hn5vq1XnVmVQI4mfzsXa
Eighties,Killing Joke,spotify:track:3bmdzcKPdbP32AUUF9hQUP
Female Of The Species,Space,spotify:track:4oWmifC8SThccLseeRcKVj
Amphetamine,Everclear,spotify:track:57a2a5vsEqnZsjcwMuo6Vo
You Should Be Mine (The Woo Woo Song),Jeffrey Osborne,spotify:track:0tSbnWmN3ggQU3SVFNr4Qp
Under A Serpent Sun,At The Gates,spotify:track:4Jg1FIbHlwoRi0olOJxtcF
Jump in the Line,Harry Belafonte,spotify:track:70mAceS5ArAqVj2OwDE4db
Icing On The Cake - Edit,Stephen Duffy,spotify:track:3rVzcGWAyeQd85TQdsQ8df
Andy Warhol,Treepeople,spotify:track:3uSvYxp7LFSiqfeOOZ94cl
Someday We'll All Be Free,Donny Hathaway,spotify:track:5J5rzvpYAQHlELldedLT9X
"Stop and Go - 7"" Edit",David Grant,spotify:track:5VR1mQyPnbjKj6pAuIFacP
Jump Into My Life,Stacy Lattisaw,spotify:track:6CcJwRrGwpxcLlrk65XIOl
The Morning After - Single Version,Maureen McGovern,spotify:track:3gAdXCoPRBhIGRoa7XdyUq
Astronomy,Metallica,spotify:track:1yfNoEcG2oHS80EUWbYVAE
